Devices
1000
,,Old Plate - 1 - Force,,,Old Plate - 1 - Moment,,,Old Plate - 1 - CoP,,,NewPlate -2 - Force,,,NewPlate -2 - Moment,,,NewPlate -2 - CoP,,,Imported Analog EMG #1 - Voltage,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8,Pulse
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V
701,4,73.7869,-21.0274,-329.93,28163.9,-43599.9,10648.5,99.8513,168.637,0,-59.5536,5.95071,-411.118,-25255.1,-18187.4,876.03,-461.239,315.43,0,8.88861e-05,0.000480173,0.000350811,0.000587793,0.0013058,0.000793828,0.000802029,0.00142019,-0.00290527
702,0,73.7978,-20.7514,-330.442,28193.5,-43658.9,10713,99.8774,168.68,0,-59.3353,5.99118,-409.786,-25142.6,-18101.6,860.52,-461.173,315.356,0,-0.000171097,0.000514896,0.000534188,0.00101137,0.00148295,0.000912654,0.00108993,0.00145908,-0.00288891
702,1,74.7042,-20.8355,-334.955,28495.9,-44193.3,10902.1,100.062,168.926,0,-59.6859,6.02498,-412.728,-25328.2,-18208.4,854.698,-461.117,315.368,0,-0.000101127,0.000445482,0.0006427,0.00127527,0.00136988,0.00108509,0.0014257,0.00136563,-0.00306733
702,2,75.2861,-20.9964,-337.405,28641.3,-44477.4,10990.6,100.178,169.113,0,-59.5205,5.92083,-412.1,-25315.6,-18169.8,848.537,-461.091,315.431,0,0.000256375,0.000368459,0.000634759,0.00132088,0.00118349,0.00141848,0.00163492,0.00132257,-0.0032487
702,3,75.6567,-21.1368,-338.366,28755,-44652,10996.3,100.037,169.018,0,-59.1208,5.77074,-409.631,-25184.4,-18054.2,841.328,-461.074,315.481,0,0.000571903,0.000328736,0.000449834,0.00120784,0.00113724,0.00182712,0.00152703,0.00132997,-0.00328714
702,4,76.0412,-21.2176,-339.3,28927,-44882.5,10988.2,99.7202,168.745,0,-58.8553,5.6931,-407.981,-25082.1,-17964.6,830.59,-461.033,315.479,0,0.000624694,0.000336859,0.000130084,0.00102879,0.00121179,0.00202606,0.00114601,0.00125352,-0.00317669
703,0,76.4056,-21.2969,-340.318,29068.5,-45094.6,10996.9,99.4929,168.584,0,-58.6754,5.69097,-407.044,-25008.9,-17901.6,817.465,-460.98,315.44,0,0.000479098,0.000409111,-0.000126911,0.000843637,0.00122337,0.00178554,0.000694906,0.00102836,-0.00303744
703,1,76.7322,-21.4888,-341.404,29135.5,-45240.4,11037.3,99.4871,168.66,0,-58.4604,5.69076,-405.984,-24928.7,-17854.5,810.441,-460.978,315.403,0,0.000285508,0.00051478,-0.000147794,0.000651986,0.00102637,0.00117766,0.000288696,0.000716293,-0.00299666
703,2,77.0529,-21.7721,-342.758,29191,-45386.9,11106.2,99.5833,168.835,0,-58.2264,5.64774,-404.619,-24835.6,-17829.4,813.446,-461.065,315.38,0,8.99663e-05,0.000547278,-1.09904e-05,0.000409668,0.000611189,0.000509733,-0.000101515,0.000398666,-0.00307083
703,3,77.3767,-21.9798,-344.332,29287.8,-45588.3,11174.1,99.6036,168.943,0,-58.0346,5.59357,-403.112,-24733.1,-17808.5,817.301,-461.178,315.355,0,-0.000113869,0.000411871,4.37355e-05,0.000117313,0.000108953,2.59259e-05,-0.000501554,0.000106797,-0.0031696
703,4,77.731,-22.0154,-345.874,29406.4,-45819.5,11221.3,99.5257,168.979,0,-57.885,5.59396,-401.597,-24623.7,-17754.5,810.505,-461.21,315.314,0,-0.0002897,0.000122225,-3.59504e-05,-9.68954e-05,-0.000275755,-0.000274189,-0.000826138,-0.000135757,-0.00320867
704,0,78.1606,-21.9659,-347.331,29510.9,-46029.8,11265.8,99.4757,169.035,0,-57.7241,5.66816,-400.158,-24517.4,-17658.4,794.847,-461.129,315.269,0,-0.000403038,-0.00020072,-2.67735e-05,-6.56175e-05,-0.000429372,-0.000550392,-0.00091648,-0.00026997,-0.00319855
704,1,78.6516,-21.9733,-348.933,29613.4,-46206.6,11333.8,99.5776,169.132,0,-57.5133,5.7544,-398.827,-24427.9,-17556.8,783.15,-461.021,315.249,0,-0.000487903,-0.00039713,0.000220197,0.000196513,-0.000408943,-0.000908971,-0.000667199,-0.000240179,-0.00320796
704,2,79.1295,-22.0904,-350.917,29753.1,-46376.9,11416.5,99.841,169.213,0,-57.2696,5.76778,-397.554,-24359.3,-17490.9,782.242,-460.996,315.273,0,-0.00058056,-0.000355385,0.000516402,0.000449965,-0.000284879,-0.00123812,-0.000149687,-5.40133e-05,-0.00325245
704,3,79.5381,-22.2813,-353.165,29925.8,-46564,11482,100.152,169.264,0,-57.0354,5.69811,-396.248,-24301.7,-17459.4,784.454,-461.062,315.329,0,-0.000602395,-9.23546e-05,0.000586929,0.000500432,-1.36481e-05,-0.0012336,0.000393175,0.000228344,-0.00325723
704,4,79.867,-22.4692,-355.16,30073.2,-46758.8,11516.6,100.344,169.325,0,-56.8264,5.62927,-394.892,-24240.3,-17422.3,776.876,-461.119,315.385,0,-0.000402071,0.00024854,0.000463366,0.000440847,0.000407907,-0.000689332,0.000732117,0.000552103,-0.00315688
705,0,80.1168,-22.5639,-356.414,30159.5,-46936.7,11533.8,100.308,169.381,0,-56.6282,5.64035,-393.557,-24164.9,-17350,754.902,-461.085,315.401,0,3.29627e-05,0.000516227,0.000420471,0.000508592,0.000810726,0.000194385,0.000838359,0.000880146,-0.00300994
705,1,80.3054,-22.5306,-357.016,30226.7,-47097,11552.7,100.081,169.335,0,-56.4227,5.70737,-392.322,-24071.6,-17256.4,726.885,-460.985,315.357,0,0.000476748,0.000662695,0.00056132,0.000749008,0.0010648,0.000934253,0.000849747,0.00115804,-0.00296453
705,2,80.5102,-22.4609,-357.61,30339.7,-47271.2,11590.4,99.8135,169.16,0,-56.1961,5.73938,-391.179,-23965.6,-17181.6,708.44,-460.923,315.265,0,0.000672587,0.000719009,0.000675329,0.000952744,0.00129268,0.00125997,0.000881265,0.00131908,-0.00308867
705,3,80.8343,-22.4979,-358.727,30492.7,-47485.3,11661.4,99.6281,168.998,0,-55.9405,5.7036,-390.054,-23863.8,-17145,709.402,-460.955,315.181,0,0.00060975,0.000707806,0.000564965,0.000923388,0.00165473,0.00131305,0.000938312,0.00134136,-0.00326853
705,4,81.2992,-22.668,-360.288,30610.6,-47722.7,11758.4,99.5429,169.038,0,-55.6735,5.6656,-388.878,-23783.3,-17121.8,722.164,-461.029,315.159,0,0.000501889,0.00063267,0.000351201,0.000696147,0.00200952,0.00128055,0.000990857,0.00127101,-0.00332246
706,0,81.8115,-22.8583,-361.908,30650.5,-47935.8,11842.2,99.5469,169.308,0,-55.435,5.69115,-387.581,-23721.5,-17067.3,726.099,-461.035,315.204,0,0.0005152,0.000529662,0.000324501,0.000468282,0.00200977,0.00109289,0.00102485,0.00117887,-0.00321004
706,1,82.2663,-22.9778,-363.444,30660.9,-48093.5,11877.2,99.6727,169.638,0,-55.2354,5.75623,-386.082,-23655.8,-16962.9,708.747,-460.936,315.271,0,0.000606614,0.000466661,0.00056698,0.000383616,0.0015216,0.000674058,0.000991301,0.00110444,-0.00307314
706,2,82.6456,-23.0594,-365.003,30722.6,-48215.4,11878.3,99.9042,169.829,0,-55.0292,5.79095,-384.393,-23569.8,-16839,680.594,-460.807,315.317,0,0.000613456,0.000467418,0.000855767,0.000410867,0.000793438,0.000253523,0.000798505,0.00101869,-0.00305573
706,3,82.9882,-23.1735,-366.573,30859.3,-48356.9,11900.9,100.084,169.817,0,-54.7776,5.77709,-382.687,-23473.7,-16745,664.382,-460.756,315.339,0,0.00042755,0.000456688,0.000910621,0.000410081,0.000199466,0.000136833,0.000425584,0.00082501,-0.00314536
706,4,83.3107,-23.3092,-367.984,31031.5,-48556,11977.7,100.049,169.671,0,-54.5181,5.75287,-381.148,-23390.6,-16699.8,671.17,-460.815,315.369,0,8.98286e-05,0.000321473,0.000610789,0.000314795,-9.22198e-05,0.000269055,-4.81169e-06,0.000450644,-0.00322967
707,0,83.6034,-23.4031,-369.217,31197.4,-48793.6,12082.2,99.8455,169.504,0,-54.3255,5.7438,-379.764,-23327.9,-16677.1,690.32,-460.914,315.427,0,-0.000238839,5.33886e-05,4.78527e-06,0.000223262,-0.000194091,0.000286238,-0.000333826,-2.38687e-05,-0.0032475
707,1,83.8783,-23.4547,-370.487,31341.1,-49018.7,12161.8,99.6911,169.406,0,-54.2011,5.7434,-378.378,-23269.3,-16642.2,701.441,-460.983,315.498,0,-0.000407196,-0.000199711,-0.000705412,0.000249414,-0.000312331,-1.28483e-05,-0.000516356,-0.000392705,-0.0032259
707,2,84.185,-23.5573,-371.978,31454.1,-49210.1,12197.1,99.7072,169.441,0,-54.0476,5.75329,-376.93,-23194.7,-16591.8,692.508,-461.018,315.536,0,-0.000389136,-0.000277056,-0.00116628,0.00031484,-0.000514017,-0.000423288,-0.000602825,-0.000529772,-0.00321386
707,3,84.5891,-23.7955,-373.688,31534.3,-49398.1,12218.8,99.8091,169.613,0,-53.7762,5.78946,-375.499,-23102.7,-16548.1,667.352,-461.07,315.525,0,-0.000262454,-0.000183451,-0.00106898,0.000219442,-0.000657324,-0.000572601,-0.000602879,-0.000478972,-0.00323858
707,4,85.1257,-24.1348,-375.541,31614.3,-49614.2,12270.2,99.8861,169.817,0,-53.4152,5.84513,-374.102,-23013.8,-16520.3,639.653,-461.16,315.517,0,-0.000105867,-5.6245e-05,-0.000461955,-5.645e-05,-0.000519517,-0.000301055,-0.000457321,-0.000284473,-0.00329745
708,0,85.7342,-24.4279,-377.448,31745.8,-49831.5,12361.7,99.9779,169.894,0,-53.085,5.88633,-372.62,-22947.5,-16484.1,620.966,-461.238,315.584,0,3.38567e-05,3.87988e-05,0.000241679,-0.000258834,8.26532e-06,0.000199033,-0.00015884,0.000132725,-0.00335766
708,1,86.2478,-24.5459,-379.185,31927.9,-49982.5,12465.6,100.185,169.799,0,-52.8687,5.88732,-371.028,-22899.7,-16404.1,612.426,-461.213,315.72,0,0.000112633,0.000181319,0.000643154,-0.000144294,0.000797572,0.000582621,0.00018179,0.000792644,-0.00339256
708,2,86.53,-24.5073,-380.468,32085.5,-50046.1,12548.5,100.462,169.668,0,-52.7267,5.84541,-369.551,-22846.1,-16275,606.424,-461.04,315.821,0,0.000118426,0.000428561,0.000673092,0.000242502,0.00151616,0.000717008,0.000445755,0.00144376,-0.0034177
708,3,86.6383,-24.4671,-381.297,32153.7,-50097.9,12601.9,100.612,169.673,0,-52.5474,5.77007,-368.434,-22771.4,-16136.1,596.157,-460.796,315.806,0,0.000129891,0.000668118,0.0005385,0.000657963,0.00185994,0.00083795,0.000637542,0.00170814,-0.00343953
708,4,86.7789,-24.5594,-382.07,32165.6,-50244.3,12639.8,100.495,169.812,0,-52.2703,5.68684,-367.588,-22689.6,-16038.5,582.92,-460.632,315.726,0,0.000255149,0.000727852,0.000492534,0.000941693,0.00182927,0.00124401,0.000840521,0.00145263,-0.00340038
709,0,87.0795,-24.7593,-383.174,32217.2,-50507.5,12675.1,100.187,169.92,0,-51.9452,5.64205,-366.627,-22624.7,-15995.5,573.079,-460.629,315.71,0,0.000472438,0.000589979,0.000669959,0.00110365,0.00170766,0.00183631,0.00106205,0.000932224,-0.00327245
709,1,87.4862,-24.9376,-384.544,32354.9,-50800.6,12707.7,99.8939,169.862,0,-51.6697,5.66957,-365.282,-22574.1,-15972.3,568.512,-460.726,315.799,0,0.000595225,0.000409218,0.00100723,0.00118277,0.00169535,0.00212532,0.00120016,0.000557117,-0.00317937
709,2,87.9057,-25.0361,-385.802,32537.6,-51021.5,12731.8,99.7522,169.663,0,-51.4806,5.74619,-363.669,-22508.1,-15927.4,562.701,-460.797,315.892,0,0.000461235,0.000327219,0.00126875,0.00115151,0.00166288,0.00178466,0.00117661,0.000547436,-0.00328498
709,3,88.3472,-25.1249,-386.82,32703.5,-51151.9,12749.7,99.7631,169.456,0,-51.3149,5.7959,-362.118,-22410.9,-15855.5,548.809,-460.785,315.889,0,0.000138139,0.000329465,0.00122624,0.000980734,0.00135813,0.0010792,0.00103045,0.000786209,-0.00354518
709,4,88.8584,-25.2766,-387.927,32832,-51255.7,12775.2,99.8731,169.366,0,-51.086,5.75172,-360.801,-22308.3,-15780.3,530.944,-460.737,315.83,0,-0.00012127,0.000289446,0.000846076,0.000708539,0.000752911,0.000607008,0.000837623,0.00096429,-0.0037078
710,0,89.3954,-25.4598,-389.486,32931.6,-51396.9,12823.1,100.039,169.449,0,-50.7893,5.6249,-359.599,-22242.1,-15719.3,522.896,-460.713,315.853,0,-0.00014985,0.000125826,0.000293195,0.000404989,8.68701e-05,0.000646491,0.000591823,0.000872195,-0.00361554
710,1,89.8387,-25.5927,-391.393,33007.7,-51579.7,12894.3,100.215,169.666,0,-50.5126,5.51448,-358.318,-22222.3,-15668.4,531.79,-460.728,316.019,0,-4.31359e-05,-9.34041e-05,-0.000200998,0.000121511,-0.000348368,0.000876535,0.000234939,0.000574312,-0.00340313
710,2,90.1225,-25.6378,-393.148,33066.4,-51763.3,12970,100.336,169.893,0,-50.331,5.5251,-356.967,-22211.4,-15619.6,545.478,-460.756,316.223,0,-1.29881e-05,-0.000223332,-0.000457582,-9.58497e-05,-0.000407628,0.000774884,-0.000202478,0.000308029,-0.00331853
710,3,90.303,-25.6117,-394.414,33127.6,-51921,13027.7,100.359,170.008,0,-50.2201,5.65908,-355.774,-22158.6,-15575.5,543.211,-460.779,316.283,0,-0.000111915,-0.000229693,-0.000422032,-0.000188604,-0.000173849,0.000210034,-0.000550592,0.000223936,-0.00342129
710,4,90.5103,-25.5599,-395.442,33215.2,-52071.3,13063.1,100.321,170.005,0,-50.0994,5.80929,-354.904,-22048,-15541,520.636,-460.789,316.124,0,-0.000214107,-0.000236473,-0.000176622,-0.000124204,0.000104616,-0.000435041,-0.000618082,0.000253244,-0.00354292
711,0,90.855,-25.5536,-396.831,33339.2,-52256.9,13092.6,100.315,169.987,0,-49.9362,5.87451,-354.201,-21912.9,-15510,496.993,-460.789,315.866,0,-0.000250734,-0.000319464,0.000130157,5.86476e-05,0.000246947,-0.000681381,-0.000354577,0.000252108,-0.00351229
711,1,91.3502,-25.6446,-398.815,33486.9,-52499,13129.5,100.363,170.034,0,-49.766,5.85955,-353.309,-21801.8,-15466.2,491.853,-460.775,315.707,0,-0.000298366,-0.000331327,0.000358918,0.000272318,0.000343045,-0.000396495,9.59494e-05,0.000239285,-0.0033427
711,2,91.8823,-25.781,-400.837,33626.2,-52768.4,13172,100.354,170.11,0,-49.6201,5.84276,-352.069,-21734.6,-15396.1,500.483,-460.73,315.734,0,-0.000385715,-6.59429e-05,0.000410011,0.000454404,0.000630685,0.000182182,0.000499929,0.000399214,-0.00319407
