Devices
1000
,,Old Plate - 1 - Force,,,Old Plate - 1 - Moment,,,Old Plate - 1 - CoP,,,NewPlate -2 - Force,,,NewPlate -2 - Moment,,,NewPlate -2 - CoP,,,Imported Analog EMG #1 - Voltage,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8,Pulse
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V
604,0,131.014,-42.2925,-517.804,43920.6,-61970.7,17890.3,112.32,169.179,0,-35.615,5.82887,-227.478,-20702.6,-8049.68,1943.7,-452.387,345.009,0,0.000197337,-0.000511492,0.00015681,0.000398567,-0.000223071,-0.000527679,-0.00018254,0.000149486,-0.00264514
604,1,131.23,-42.5991,-517.978,43820.4,-61965.5,17838.4,112.37,169.401,0,-35.6693,5.84772,-227.792,-20687.6,-8054.82,1969.28,-452.36,344.818,0,0.000306422,-0.000527595,0.000369094,0.000444713,-3.90732e-06,-0.000319569,0.000256252,0.000343746,-0.00296665
604,2,131.382,-42.8471,-517.583,43708,-62014.4,17805.6,112.185,169.554,0,-35.7903,5.86991,-228.322,-20686.5,-8085,2003.97,-452.41,344.602,0,0.000514371,-0.000265387,0.000311789,0.000550415,0.000147484,0.000200047,0.000531348,0.000737004,-0.00340822
604,3,131.259,-42.7634,-516.316,43652.6,-62029.8,17849.6,111.861,169.454,0,-35.9476,5.89951,-228.781,-20717.7,-8129.86,2024.78,-452.536,344.557,0,0.00074176,0.000175346,0.000101889,0.000652895,0.000394469,0.000910824,0.000591339,0.00112362,-0.00368798
604,4,130.901,-42.4244,-514.668,43642.6,-61880.9,17953.7,111.765,169.202,0,-36.0626,5.93363,-229.009,-20772.6,-8167.71,2021.65,-452.665,344.706,0,0.000850953,0.000452629,0.000119787,0.000736728,0.00100244,0.00154994,0.00082831,0.00139333,-0.00366135
605,0,130.509,-42.1434,-513.451,43632.2,-61624.2,18020.5,111.98,169.022,0,-36.1009,5.91747,-229.209,-20827,-8194.72,2011.11,-452.752,344.865,0,0.000765878,0.000426899,0.000362322,0.000895247,0.00171787,0.00185144,0.00126262,0.00167414,-0.00346528
605,1,130.229,-42.1289,-513.025,43617.3,-61465.5,17979.1,112.19,168.98,0,-36.1337,5.81193,-229.653,-20869.3,-8219.64,2018.19,-452.792,344.873,0,0.000514413,0.000249865,0.000669237,0.00112261,0.00195807,0.00167579,0.00142201,0.0019259,-0.00333029
605,2,130.116,-42.3376,-513.025,43604.1,-61483.1,17878.2,112.156,169.006,0,-36.2375,5.7029,-230.296,-20901.2,-8256.97,2043.31,-452.854,344.758,0,0.00017786,0.000126762,0.0010925,0.00117001,0.0016261,0.00121105,0.00118696,0.00183067,-0.00333986
605,3,130.108,-42.5266,-512.748,43571.1,-61558.2,17812.5,111.945,169.024,0,-36.3819,5.71332,-230.906,-20924.2,-8321.37,2059.21,-453.038,344.618,0,-5.86243e-05,0.000134117,0.00148276,0.000833774,0.00123083,0.000835703,0.000958282,0.00136307,-0.00344836
605,4,130.067,-42.4946,-511.844,43505.4,-61557.4,17801.8,111.734,169.003,0,-36.5002,5.8194,-231.49,-20949.5,-8390.11,2047.84,-453.244,344.499,0,4.95129e-05,0.000185939,0.00146349,0.000307182,0.00108566,0.000697492,0.00090282,0.000987959,-0.0036168
606,0,129.957,-42.3302,-510.585,43432.2,-61454,17815.5,111.64,168.937,0,-36.6053,5.88904,-232.205,-20994.6,-8406.84,2024.35,-453.204,344.414,0,0.000416016,0.00017975,0.00114291,-1.62386e-05,0.00089942,0.000677202,0.000762688,0.00100899,-0.00377691
606,1,129.855,-42.2679,-509.449,43383.7,-61303.5,17838.1,111.667,168.842,0,-36.7463,5.87099,-232.947,-21047.1,-8368.02,2020.22,-452.922,344.351,0,0.000520337,0.000160526,0.00100337,-6.53372e-05,0.000418078,0.00059835,0.000423366,0.00113631,-0.0037985
606,2,129.744,-42.3366,-508.643,43354,-61176.5,17845.9,111.726,168.765,0,-36.9179,5.81729,-233.481,-21074,-8348.89,2054.77,-452.758,344.26,0,0.000101364,0.000227749,0.00103853,-0.000126803,-7.99955e-05,0.000290069,7.63247e-05,0.000927173,-0.00367373
606,3,129.517,-42.3817,-508.115,43308.9,-61100.2,17811.7,111.751,168.766,0,-37.0906,5.76975,-233.819,-21087.1,-8401.55,2115.52,-452.932,344.185,0,-0.0003789,0.000341115,0.000833374,-0.000308366,-0.000232984,-0.000232604,-0.000134512,0.000357207,-0.00354246
606,4,129.237,-42.3445,-507.721,43251.2,-61063.9,17765.2,111.73,168.813,0,-37.2675,5.74597,-234.113,-21132.8,-8485.86,2160.27,-453.247,344.268,0,-0.000426387,0.000342179,0.000297797,-0.000311979,-4.17917e-05,-0.00063697,-0.000268905,-0.00020855,-0.00342025
607,0,129.139,-42.2932,-507.265,43231.6,-61066.9,17764.5,111.615,168.775,0,-37.4583,5.77669,-234.413,-21206.8,-8532.38,2158.18,-453.399,344.467,0,-0.000243129,0.000124758,-0.000309777,7.53847e-05,0.000277613,-0.000657752,-0.000436747,-0.000436976,-0.00320984
607,1,129.27,-42.2553,-506.689,43263.4,-61094.3,17804.6,111.425,168.616,0,-37.6478,5.85221,-234.757,-21255.2,-8526.42,2129.79,-453.32,344.542,0,-0.000267956,-0.000214074,-0.000688973,0.000561654,0.000501809,-0.000484218,-0.000596102,-0.00026772,-0.00302107
607,2,129.372,-42.1856,-506.247,43287.2,-61073,17818.7,111.361,168.494,0,-37.8148,5.89374,-235.182,-21266.3,-8509.55,2124.31,-453.183,344.425,0,-0.000436193,-0.000328594,-0.0005059,0.000647156,0.000544649,-0.000447212,-0.000538993,0.000172076,-0.00308719
607,3,129.271,-42.0701,-506.066,43250.4,-60953.9,17762.4,111.554,168.536,0,-37.9522,5.86305,-235.644,-21284.8,-8525.43,2160.4,-453.179,344.326,0,-0.000400222,8.14454e-05,0.000325301,0.000236293,0.000541605,-0.000438468,-0.000139537,0.000685235,-0.00333923
607,4,129.114,-41.9678,-505.636,43160.3,-60802.5,17665.5,111.75,168.642,0,-38.0663,5.838,-236.198,-21341.5,-8581.05,2206.88,-453.33,344.354,0,-0.000132622,0.00075788,0.00123272,-0.000185279,0.000560962,-3.18982e-05,0.000486518,0.00105113,-0.00344352
608,0,129.053,-41.924,-504.323,43048.1,-60717,17607.7,111.607,168.642,0,-38.173,5.88622,-237.061,-21421.5,-8654.81,2223.28,-453.509,344.363,0,0.000132991,0.0010015,0.00150002,-8.66371e-05,0.000484993,0.000771921,0.00113445,0.0011522,-0.00330183
608,1,128.954,-41.8942,-502.468,42946.6,-60700,17634.6,111.196,168.529,0,-38.28,5.92735,-238.192,-21496.5,-8723.41,2207.27,-453.623,344.249,0,0.00031424,0.000580127,0.00120069,0.000495086,0.000439641,0.00141031,0.00163524,0.00108082,-0.00318109
608,2,128.645,-41.8109,-501.171,42900.5,-60678.8,17693.7,110.926,168.4,0,-38.3707,5.85335,-239.184,-21557.3,-8771.68,2191.3,-453.673,344.129,0,0.000470913,7.89873e-05,0.000973534,0.00110616,0.000733928,0.00152082,0.00179287,0.00105202,-0.00329838
608,3,128.243,-41.6826,-500.85,42920.9,-60598.6,17693.9,111.009,168.304,0,-38.4404,5.73042,-239.8,-21613.3,-8795.75,2199.14,-453.68,344.13,0,0.000557763,7.07869e-05,0.00100692,0.00143135,0.00117771,0.00138953,0.00148519,0.0012283,-0.00354863
608,4,128.03,-41.5676,-500.802,42934.1,-60457.2,17628.9,111.279,168.269,0,-38.5425,5.71338,-240.272,-21671.7,-8809.06,2224.93,-453.663,344.197,0,0.000460223,0.000438644,0.000990404,0.00143218,0.00120057,0.0014716,0.00093145,0.00157248,-0.00369155
609,0,128.118,-41.5023,-500.338,42870.1,-60297.7,17576.1,111.486,168.318,0,-38.7384,5.80011,-240.914,-21725.1,-8827.73,2252.49,-453.643,344.178,0,0.00019381,0.000725668,0.000884489,0.00121815,0.00074871,0.00167768,0.00056724,0.00182874,-0.00363739
609,1,128.309,-41.4841,-499.521,42774.5,-60186.5,17577.1,111.512,168.369,0,-39.0001,5.84937,-241.767,-21765.6,-8852.34,2273.05,-453.615,344.027,0,-6.34739e-05,0.000727909,0.000897811,0.00095496,0.000359468,0.00147515,0.000553449,0.00177181,-0.00347827
609,2,128.321,-41.4571,-498.676,42731.7,-60166.3,17598.3,111.348,168.31,0,-39.2301,5.80776,-242.652,-21803.2,-8884.55,2282.7,-453.614,343.854,0,-0.000153037,0.00056849,0.000870736,0.000702126,0.000284867,0.000867092,0.000666531,0.00144453,-0.00330313
609,3,128.099,-41.3353,-497.888,42731.9,-60211.7,17602.4,111.066,168.174,0,-39.3861,5.74265,-243.355,-21859.3,-8941.22,2284.26,-453.742,343.825,0,-0.000121358,0.000374854,0.000506097,0.000391498,0.000207136,0.000561191,0.000636756,0.00102102,-0.00312654
609,4,127.824,-41.1262,-497.066,42710.2,-60232.2,17586,110.825,168.075,0,-39.5254,5.69026,-243.78,-21942.3,-9026.07,2293.39,-454.026,344.009,0,-0.000107967,0.00011971,7.85973e-06,5.18883e-05,-3.63284e-05,0.000722831,0.000347346,0.000593674,-0.00300488
610,0,127.643,-40.9666,-496.139,42648.9,-60148.5,17555,110.767,168.038,0,-39.7124,5.64361,-244.105,-22031.9,-9109.35,2320.38,-454.317,344.256,0,-0.000115559,-0.000133542,-0.000208255,-0.000150311,-9.79682e-05,0.00061437,-0.000150808,0.000199647,-0.00301336
610,1,127.503,-40.9346,-495.203,42563.9,-59990.9,17518.6,110.856,168.048,0,-39.9314,5.63935,-244.691,-22100.4,-9155.63,2351.08,-454.417,344.32,0,-0.000111606,-0.000148316,-0.000106376,-0.000129607,0.000201749,-9.48353e-05,-0.000617474,-0.000117936,-0.00309149
610,2,127.325,-40.9344,-494.523,42466.9,-59870.1,17493.2,110.934,168.126,0,-40.123,5.69955,-245.667,-22154.8,-9159.57,2368.17,-454.285,344.182,0,-0.000184493,0.000131544,0.000163419,1.3602e-05,0.00042175,-0.000806732,-0.000747882,-0.00029166,-0.00311497
610,3,127.18,-40.8814,-494.228,42395.2,-59837.5,17481.5,110.927,168.219,0,-40.275,5.75255,-246.747,-22233.2,-9151.58,2377.9,-454.089,344.105,0,-0.000338549,0.000477685,0.000527644,0.000132827,0.000166371,-0.000947241,-0.000441143,-0.000186848,-0.0030927
610,4,127.168,-40.8599,-494.161,42386.2,-59861.8,17467.3,110.862,168.226,0,-40.4275,5.74339,-247.603,-22344.8,-9174.81,2394.16,-454.055,344.245,0,-0.000365581,0.000680927,0.000792728,0.00027202,-0.000238456,-0.000480919,6.95265e-05,0.000294257,-0.00312
611,0,127.173,-40.9571,-494.135,42385.5,-59899.1,17443.1,110.78,168.223,0,-40.6016,5.75185,-248.214,-22444.6,-9245.14,2411.09,-454.247,344.424,0,-0.000135993,0.000679521,0.000805934,0.000627196,-0.000191653,0.000337552,0.00042599,0.000984941,-0.00318314
611,1,126.938,-41.0562,-493.945,42291.2,-59871.7,17419.8,110.789,168.381,0,-40.775,5.87544,-248.785,-22499.8,-9326.14,2410.77,-454.487,344.439,0,0.00017812,0.000512182,0.000794617,0.001119,0.000354939,0.00107155,0.000568054,0.00149149,-0.00314819
611,2,126.409,-40.9376,-493.126,42113.5,-59703.4,17405.2,110.929,168.599,0,-40.9275,6.05003,-249.506,-22542.8,-9364.63,2392.55,-454.533,344.35,0,0.000321629,0.000327467,0.000971979,0.00131818,0.000953188,0.00136642,0.000795364,0.00158159,-0.0029685
611,3,125.886,-40.5885,-491.451,41972.8,-59472.7,17397.6,110.985,168.594,0,-41.0712,6.11898,-250.43,-22622.6,-9358.98,2380.42,-454.372,344.335,0,0.000270588,0.000320018,0.00111049,0.00105818,0.00135035,0.00138935,0.00125535,0.00142758,-0.00282284
611,4,125.714,-40.2944,-489.639,41938.2,-59349.3,17401.6,110.79,168.349,0,-41.2335,6.04314,-251.469,-22740.2,-9360.69,2397.14,-454.224,344.43,0,0.000168145,0.000586581,0.000981877,0.000718141,0.0016137,0.00156071,0.00163746,0.00133732,-0.00290659
612,0,125.841,-40.2863,-488.637,41968.6,-59334.4,17423.6,110.572,168.111,0,-41.4256,5.92457,-252.491,-22862.9,-9400.04,2440.75,-454.229,344.549,0,4.13265e-05,0.000988282,0.000747156,0.00066408,0.00169241,0.00193603,0.00157474,0.00137713,-0.00314261
612,1,125.877,-40.4048,-488.394,41995.4,-59284,17445.3,110.614,168.013,0,-41.6166,5.87506,-253.421,-22962.1,-9453.4,2487.47,-454.303,344.609,0,-0.000153529,0.00117534,0.000564444,0.000803562,0.00145566,0.00222971,0.00110935,0.00143101,-0.00332539
612,2,125.651,-40.3456,-488.107,41991.2,-59170.4,17436,110.776,167.971,0,-41.7651,5.94847,-254.221,-23027.2,-9496.51,2508.46,-454.355,344.579,0,-0.00028073,0.00095079,0.000389903,0.000862497,0.00107435,0.00216598,0.0006261,0.00144111,-0.00342952
612,3,125.404,-40.104,-487.311,41964.1,-59099.2,17394,110.724,167.886,0,-41.8933,6.11774,-254.944,-23078.1,-9542.75,2494.11,-454.431,344.522,0,-0.00017004,0.000527078,0.000367536,0.000779009,0.000803726,0.00165788,0.000461623,0.00135507,-0.0035316
612,4,125.303,-39.8917,-486.232,41925.5,-59100.1,17344.1,110.453,167.775,0,-42.0636,6.26101,-255.74,-23153.1,-9608.76,2471.73,-454.572,344.534,0,7.75251e-05,0.00020898,0.000706302,0.000653816,0.000531736,0.000912875,0.000584509,0.0010545,-0.00361687
